2026-03-12 16:00:49,045 - 1001 | Gross:45000.0 | Net:41800.0
2026-03-12 16:00:49,059 - 1002 | Gross:31500.0 | Net:29200.0
2026-03-12 16:00:49,067 - 1003 | Gross:36000.0 | Net:33400.0
2026-03-12 16:00:49,072 - 1004 | Gross:49500.0 | Net:46000.0
2026-03-12 16:00:49,079 - 1005 | Gross:27000.0 | Net:25000.0
2026-03-12 16:00:49,090 - 1006 | Gross:28800.0 | Net:26680.0
2026-03-12 16:00:49,095 - 1007 | Gross:72000.0 | Net:67000.0
2026-03-12 16:00:49,102 - 1008 | Gross:54000.0 | Net:50200.0
2026-03-12 16:00:49,110 - 1009 | Gross:63000.0 | Net:58600.0
2026-03-12 16:00:49,119 - 1010 | Gross:58500.0 | Net:54400.0
2026-03-12 16:00:49,129 - 1011 | Gross:81000.0 | Net:75400.0
2026-03-12 16:00:49,137 - 1012 | Gross:67500.0 | Net:62800.0
2026-03-12 16:00:49,151 - 1013 | Gross:76500.0 | Net:71200.0
2026-03-12 16:00:49,159 - 1014 | Gross:32400.0 | Net:30040.0
2026-03-12 16:00:49,169 - 1015 | Gross:28800.0 | Net:26680.0
2026-03-12 16:00:49,177 - 1016 | Gross:46800.0 | Net:43480.0
2026-03-12 16:00:49,186 - 1017 | Gross:30600.0 | Net:28360.0
2026-03-12 16:00:49,198 - 1018 | Gross:34200.0 | Net:31720.0
2026-03-12 16:00:49,209 - 1019 | Gross:37800.0 | Net:35080.0
2026-03-12 16:00:49,228 - 1020 | Gross:70200.0 | Net:65320.0
